c_std_hi,c_mean_hi,contribution_hi,lengths_hi,bins_hi,weights_hi,relweights_hi,c_std_lo,c_mean_lo,contribution_lo,lengths_lo,bins_lo,weights_lo,relweights_lo
,,,15.002695722787394,,,,,,,293.0526564517804,,,
,,,5.657199706244242,,,,,,,2.000359429704986,,,
,,,29.346723476142007,,,,,,,29.005211730722294,,,
,,,4.2428997796831815,,,,,,,48.00862631291966,,,
,,,5.657199706244242,,,,,,,49.00880602777215,,,
,,,70.71499632805302,,,,,,,7.00125800396745,,,
,,,41.01469787027075,,,,,,,98.0176120555443,,,
,,,8.485799559366363,,,,,,,34.00611030498476,,,
,,,26.87169860466015,,,,,,,26.518123623019886,,,
,,,76.018621052657,,,,,,,85.2115705753039,,,
,,,2.475024871481856,,,,,,,166.88739133420515,,,
,,,5.657199706244242,,,,,,,17.32517410037299,,,
,,,25.004492871312323,,,,,,,95.81882002451185,,,
,,,32.00575087527977,,,,,,,79.55437086905965,,,
,,,15.002695722787394,,,,,,,66.47209654836985,,,
,,,3.0005391445574787,,,,,,,8.485799559366363,,,
,,,42.0075480238047,,,,,,,6.010774687884507,,,
,,,43.007727738657195,,,,,,,42.78257277847208,,,
,,,98.0176120555443,,,,,,,49.14692244799685,,,
,,,14.0025160079349,,,,,,,31.00557116042728,,,
,,,4.000718859409972,,,,,,,71.012759754527,,,
,,,10.001797148524929,,,,,,,118.02120635259416,,,
,,,9.001617433672436,,,,,,,10.001797148524929,,,
,,,129.02318321597159,,,,,,,72.01293946937949,,,
,,,258.04636643194317,,,,,,,12.002156578229915,,,
,,,19.003414582197365,,,,,,,3.0005391445574787,,,
,,,238.0427721348933,,,,,,,46.008266883214674,,,
,,,8.485799559366363,,,,,,,40.007188594099716,,,
,,,2.828599853122121,,,,,,,159.77870944768574,,,
,,,8.485799559366363,,,,,,,16.002875437639887,,,
,,,5.657199706244242,,,,,,,42.0075480238047,,,
,,,97.58669493271317,,,,,,,32.00575087527977,,,
,,,15.557299192171666,,,,,,,12.002156578229915,,,
,,,41.01469787027075,,,,,,,7.00125800396745,,,
,,,45.25759764995394,,,,,,,63.01132203570705,,,
,,,25.45739867809909,,,,,,,98.0176120555443,,,
,,,11.314399412488484,,,,,,,7.071499632805303,,,
,,,11.314399412488484,,,,,,,62.22919676868666,,,
,,,47.00844659806717,,,,,,,12.728699339049545,,,
,,,7.00125800396745,,,,,,,179.6160906732547,,,
,,,3.0005391445574787,,,,,,,62.22919676868666,,,
,,,6.001078289114957,,,,,,,124.45839353737333,,,
,,,23.004133441607337,,,,,,,15.557299192171666,,,
,,,65.01168146541204,,,,,,,70.71499632805302,,,
,,,30.005391445574787,,,,,,,26.87169860466015,,,
,,,13.002336293082408,,,,,,,108.90109434520166,,,
,,,6.001078289114957,,,,,,,19.800198971854847,,,
,,,58.01042346144459,,,,,,,11.314399412488484,,,
,,,123.02210492685663,,,,,,,258.04636643194317,,,
