R,pdf,cdf,satn,bin_centers,bin_edges,bin_widths,average-pore-size
447.4882943,0,0,0,447.4882943,446.4849498,2.006688963,
449.4949833,0,0,0,449.4949833,448.4916388,2.006688963,
451.5016722,0,0,0,451.5016722,450.4983278,2.006688963,
453.5083612,0,0,0,453.5083612,452.5050167,2.006688963,
455.5150502,0,0,0,455.5150502,454.5117057,2.006688963,
457.5217391,0,0,0,457.5217391,456.5183946,2.006688963,
459.5284281,0,0,0,459.5284281,458.5250836,2.006688963,
461.5351171,0,0,0,461.5351171,460.5317726,2.006688963,
463.541806,0,0,0,463.541806,462.5384615,2.006688963,
465.548495,0,0,0,465.548495,464.5451505,2.006688963,
467.5551839,0,0,0,467.5551839,466.5518395,2.006688963,
469.5618729,0,0,0,469.5618729,468.5585284,2.006688963,
471.5685619,0,0,0,471.5685619,470.5652174,2.006688963,
473.5752508,0,0,0,473.5752508,472.5719064,2.006688963,
475.5819398,0,0,0,475.5819398,474.5785953,2.006688963,
477.5886288,0,0,0,477.5886288,476.5852843,2.006688963,
479.5953177,0,0,0,479.5953177,478.5919732,2.006688963,
481.6020067,0,0,0,481.6020067,480.5986622,2.006688963,
483.6086957,0,0,0,483.6086957,482.6053512,2.006688963,
485.6153846,0,0,0,485.6153846,484.6120401,2.006688963,
487.6220736,0,0,0,487.6220736,486.6187291,2.006688963,
489.6287625,0,0,0,489.6287625,488.6254181,2.006688963,
491.6354515,0,0,0,491.6354515,490.632107,2.006688963,
493.6421405,0,0,0,493.6421405,492.638796,2.006688963,
495.6488294,0,0,0,495.6488294,494.6454849,2.006688963,
497.6555184,0,0,0,497.6555184,496.6521739,2.006688963,
499.6622074,0,0,0,499.6622074,498.6588629,2.006688963,
501.6688963,0,0,0,501.6688963,500.6655518,2.006688963,
503.6755853,0,0,0,503.6755853,502.6722408,2.006688963,
505.6822742,0,0,0,505.6822742,504.6789298,2.006688963,
507.6889632,0,0,0,507.6889632,506.6856187,2.006688963,
509.6956522,0,0,0,509.6956522,508.6923077,2.006688963,
511.7023411,0,0,0,511.7023411,510.6989967,2.006688963,
513.7090301,0,0,0,513.7090301,512.7056856,2.006688963,
515.7157191,0,0,0,515.7157191,514.7123746,2.006688963,
517.722408,0,0,0,517.722408,516.7190635,2.006688963,
519.729097,0,0,0,519.729097,518.7257525,2.006688963,
521.735786,0,0,0,521.735786,520.7324415,2.006688963,
523.7424749,0,0,0,523.7424749,522.7391304,2.006688963,
525.7491639,0,0,0,525.7491639,524.7458194,2.006688963,
527.7558528,0,0,0,527.7558528,526.7525084,2.006688963,
529.7625418,0,0,0,529.7625418,528.7591973,2.006688963,
531.7692308,0,0,0,531.7692308,530.7658863,2.006688963,
533.7759197,0,0,0,533.7759197,532.7725753,2.006688963,
535.7826087,0,0,0,535.7826087,534.7792642,2.006688963,
537.7892977,0,0,0,537.7892977,536.7859532,2.006688963,
539.7959866,0,0,0,539.7959866,538.7926421,2.006688963,
541.8026756,0,0,0,541.8026756,540.7993311,2.006688963,
